WORD	arg0.np..v.v..arg2.np..arg1.np.	arg0.np..v.v..arg1.np..arg2.pp.	PREFERENCE	LLR	PEARSONRESID	LOGODDSRATIO	MI	DELTAPC2W	DELTAPW2C	FYE
strip	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
sublet	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
submerge	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
subordinate	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
survey	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
suspend	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
tag	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
tape	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
test	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
thumb	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
thwappe	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
tip	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
top	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
touch	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
transplant	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
trap	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
trounce	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
trust	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
tuck	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
tutor	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
understand	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
upload	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
urge	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
veto	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
volunteer	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
waive	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
warn	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
wean	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
wed	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
weigh	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
withhold	0	1	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.388964745098796	0.194772864180282	21.0275623996349	0.280555560855218	0.000181917409496089	0.176752546434991	2.7724414663407e-16
aggravate	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
ally	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
announce	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
answer	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
appeal	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
appoint	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
arrest	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
ascribe	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
assimilate	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
associate	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
ban	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
bid	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
bill	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
blind	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
budget	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
cede	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
channel	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
chide	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
clean	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
clear	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
cloak	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
comfort	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
commend	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
conceal	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
confront	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
control	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
couch	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
crown	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
curry	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
declare	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
defend	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
defer	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
deposit	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
designate	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
disclose	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
distinguish	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
distract	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
dump	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
elevate	0	2	arg0(np)-v(v)-arg1(np)-arg2(pp)	0.77799381063125	0.275450426106008	21.3640721224692	0.280555560855218	0.000363834818992178	0.176779026217229	2.30534534972895e-16
